mode,v_walk,facility,lat,lon,T_facility_min,nodes_reach,inundated_nodes_reach
notower,1.0,御坊商工会館,33.890629,135.152825,33.0,16,16
notower,1.0,御坊市中央公民館,33.8907543,135.153446,33.0,429,426
notower,1.0,勤労青少年ホーム,33.8937888,135.152608,36.0,96,96
notower,1.0,北塩屋　上の芝　高台,33.8751559,135.159775,,48,37
notower,1.0,北塩屋　六豆山,33.870164,135.164326,,307,21
notower,1.0,日高博愛園しおや,33.873316215096,135.16211138358,28.0,250,235
notower,1.0,猪野々会館,33.8710998,135.180807,,3498,410
notower,1.0,河南中学校,33.8783656,135.167466,,710,249
notower,1.0,岩内会館,33.8886893,135.170283,,1,0
notower,1.0,熊野会館,33.8885244,135.181447,,1,0
notower,1.0,御坊中学校,33.8984943,135.159354,,13514,4063
notower,1.0,博愛園デイサービスセンター春日,33.891605,135.159393,33.0,202,202
notower,1.0,日高川ハイツ　バラ棟,33.889272,135.162208,32.0,42,39
notower,1.0,日高川ハイツ　あじさい棟,33.888818,135.161828,32.0,4,4
notower,1.0,日高川ハイツ　にじ棟,33.889057,135.161548,32.0,171,171
notower,1.0,日高川ハイツ　ゆり棟,33.888045,135.16213,29.0,1,1
notower,1.0,日高高等学校,33.8963634,135.157826,,7,0
notower,1.0,グリーンハイツ　カトレア棟,33.893197,135.164446,,5,4
notower,1.0,グリーンハイツ　すみれ棟,33.892775,135.164619,35.0,1,1
notower,1.0,グリーンハイツ　秋桜棟,33.892661,135.164199,35.0,11,11
notower,1.0,グリーンハイツ　すずらん棟,33.893582,135.164544,,1,0
notower,1.0,島会館,33.8913026,135.161957,33.0,90,90
notower,1.0,グリーンハイツ　さくら棟,33.894144,135.164328,,3,0
notower,1.0,税務署御坊寮,33.8946111,135.158133,36.0,99,99
notower,1.0,丸山　西山,33.913666,135.15,,1,0
notower,1.0,丸山　宮山,33.908241,135.153069,,1,0
notower,1.0,オークワ　ロマンシティ御坊店,33.897732,135.149438,,1,0
notower,1.0,財部会館,33.9015079,135.152816,,1,0
notower,1.0,きのくに信用金庫御坊営業部,33.897696342894,135.15405327699,,1,0
notower,1.0,湯川幼稚園,33.900224,135.159997,,1,0
notower,1.0,湯川小学校,33.9037471,135.163068,,1,0
notower,1.0,湯川コミュニティセンター,33.904001,135.162524,,1,0
notower,1.0,紀央館高等学校,33.906169,135.161464,,1,0
notower,1.0,湯川中学校,33.9067569,135.163509,,1,0
notower,1.0,湯川文化会館,33.915848,135.152267,,1,0
notower,1.0,鳳生寺,33.9132716,135.161447,,1,0
notower,1.0,吉田八幡神社,33.913158,135.16959,,1,0
notower,1.0,ヨシダエルシス（株）社屋屋上,33.906138446992,135.17095651488,,1,0
notower,1.0,藤田会館,33.9041628,135.1678647,,1,0
notower,1.0,藤田小学校,33.907873,135.173905,,1,0
notower,1.0,藤田コミュニティセンター,33.9057601,135.173073,,1,0
notower,1.0,野口会館,33.9026153,135.18274,,1,0
notower,1.0,野口コミュニティセンター,33.8984963,135.184075,,1,0
notower,1.0,野口小学校,33.895603759599,135.18004320122,,1,0
notower,1.0,古森区集会所,33.894039,135.176035,,1,0
notower,1.0,大成中学校,33.914948,135.180002,,1,0
notower,0.5,日高看護専門学校,33.896404,135.154042,39.0,21,21
notower,0.5,西日本電信電話㈱御坊別館ビル,33.890232,135.155151,32.0,157,157
notower,0.5,御坊小学校,33.8919485,135.154961,33.0,34,34
notower,0.5,ジョーシン電気御坊店,33.890985,135.151511,33.0,335,294
notower,0.5,福祉センター,33.8908522,135.152788,33.0,15,15
notower,0.5,御坊市役所,33.891263,135.152046,33.0,88,88
notower,0.5,御坊商工会館,33.890629,135.152825,33.0,16,16
notower,0.5,御坊市中央公民館,33.8907543,135.153446,33.0,301,301
notower,0.5,勤労青少年ホーム,33.8937888,135.152608,36.0,126,126
notower,0.5,北塩屋　上の芝　高台,33.8751559,135.159775,,73,62
notower,0.5,北塩屋　六豆山,33.870164,135.164326,,299,22
notower,0.5,日高博愛園しおや,33.873316215096,135.16211138358,28.0,227,202
notower,0.5,猪野々会館,33.8710998,135.180807,,3437,406
notower,0.5,河南中学校,33.8783656,135.167466,,732,272
notower,0.5,岩内会館,33.8886893,135.170283,,1,0
notower,0.5,熊野会館,33.8885244,135.181447,,1,0
notower,0.5,御坊中学校,33.8984943,135.159354,,10990,2564
notower,0.5,博愛園デイサービスセンター春日,33.891605,135.159393,33.0,208,208
notower,0.5,日高川ハイツ　バラ棟,33.889272,135.162208,32.0,43,40
notower,0.5,日高川ハイツ　あじさい棟,33.888818,135.161828,32.0,19,19
notower,0.5,日高川ハイツ　にじ棟,33.889057,135.161548,32.0,203,203
notower,0.5,日高川ハイツ　ゆり棟,33.888045,135.16213,29.0,1,1
notower,0.5,日高高等学校,33.8963634,135.157826,,7,0
notower,0.5,グリーンハイツ　カトレア棟,33.893197,135.164446,,10,9
notower,0.5,グリーンハイツ　すみれ棟,33.892775,135.164619,35.0,1,1
notower,0.5,グリーンハイツ　秋桜棟,33.892661,135.164199,35.0,12,12
notower,0.5,グリーンハイツ　すずらん棟,33.893582,135.164544,,1,0
notower,0.5,島会館,33.8913026,135.161957,33.0,89,89
notower,0.5,グリーンハイツ　さくら棟,33.894144,135.164328,,3,0
notower,0.5,税務署御坊寮,33.8946111,135.158133,36.0,82,82
notower,0.5,丸山　西山,33.913666,135.15,,1,0
notower,0.5,丸山　宮山,33.908241,135.153069,,1,0
notower,0.5,オークワ　ロマンシティ御坊店,33.897732,135.149438,,1,0
notower,0.5,財部会館,33.9015079,135.152816,,1,0
notower,0.5,きのくに信用金庫御坊営業部,33.897696342894,135.15405327699,,1,0
notower,0.5,湯川幼稚園,33.900224,135.159997,,1,0
notower,0.5,湯川小学校,33.9037471,135.163068,,1,0
notower,0.5,湯川コミュニティセンター,33.904001,135.162524,,1,0
notower,0.5,紀央館高等学校,33.906169,135.161464,,1,0
notower,0.5,湯川中学校,33.9067569,135.163509,,1,0
notower,0.5,湯川文化会館,33.915848,135.152267,,1,0
notower,0.5,鳳生寺,33.9132716,135.161447,,1,0
notower,0.5,吉田八幡神社,33.913158,135.16959,,1,0
notower,0.5,ヨシダエルシス（株）社屋屋上,33.906138446992,135.17095651488,,1,0
notower,0.5,藤田会館,33.9041628,135.1678647,,1,0
notower,0.5,藤田小学校,33.907873,135.173905,,1,0
notower,0.5,藤田コミュニティセンター,33.9057601,135.173073,,1,0
notower,0.5,野口会館,33.9026153,135.18274,,1,0
notower,0.5,野口コミュニティセンター,33.8984963,135.184075,,1,0
notower,0.5,野口小学校,33.895603759599,135.18004320122,,1,0
notower,0.5,古森区集会所,33.894039,135.176035,,1,0
notower,0.5,大成中学校,33.914948,135.180002,,1,0
safe,1.0,日高看護専門学校,33.896404,135.154042,39.0,11,11
safe,1.0,西日本電信電話㈱御坊別館ビル,33.890232,135.155151,32.0,87,87
safe,1.0,御坊小学校,33.8919485,135.154961,33.0,13,13
safe,1.0,ジョーシン電気御坊店,33.890985,135.151511,33.0,68,68
safe,1.0,福祉センター,33.8908522,135.152788,33.0,15,15
safe,1.0,御坊市役所,33.891263,135.152046,33.0,59,59
safe,1.0,御坊商工会館,33.890629,135.152825,33.0,16,16
safe,1.0,御坊市中央公民館,33.8907543,135.153446,33.0,136,136
safe,1.0,新町地区津波避難タワー,33.886173294397,135.15482557005,29.0,315,315
safe,1.0,勤労青少年ホーム,33.8937888,135.152608,36.0,94,94
safe,1.0,薗地区津波避難タワー,33.8871581,135.161616,32.0,1,1
safe,1.0,北塩屋　上の芝　高台,33.8751559,135.159775,,0,0
safe,1.0,北塩屋　六豆山,33.870164,135.164326,,0,0
safe,1.0,日高博愛園しおや,33.873316215096,135.16211138358,28.0,45,45
safe,1.0,猪野々会館,33.8710998,135.180807,,0,0
safe,1.0,河南中学校,33.8783656,135.167466,,0,0
safe,1.0,岩内会館,33.8886893,135.170283,,0,0
safe,1.0,熊野会館,33.8885244,135.181447,,0,0
safe,1.0,御坊中学校,33.8984943,135.159354,,0,0
safe,1.0,博愛園デイサービスセンター春日,33.891605,135.159393,33.0,202,202
safe,1.0,日高川ハイツ　バラ棟,33.889272,135.162208,32.0,19,19
safe,1.0,日高川ハイツ　あじさい棟,33.888818,135.161828,32.0,4,4
safe,1.0,日高川ハイツ　にじ棟,33.889057,135.161548,32.0,167,167
safe,1.0,日高川ハイツ　ゆり棟,33.888045,135.16213,29.0,1,1
safe,1.0,日高高等学校,33.8963634,135.157826,,0,0
safe,1.0,グリーンハイツ　カトレア棟,33.893197,135.164446,,0,0
safe,1.0,グリーンハイツ　すみれ棟,33.892775,135.164619,35.0,1,1
safe,1.0,グリーンハイツ　秋桜棟,33.892661,135.164199,35.0,9,9
safe,1.0,グリーンハイツ　すずらん棟,33.893582,135.164544,,0,0
safe,1.0,島会館,33.8913026,135.161957,33.0,81,81
safe,1.0,グリーンハイツ　さくら棟,33.894144,135.164328,,0,0
safe,1.0,税務署御坊寮,33.8946111,135.158133,36.0,89,89
safe,1.0,丸山　西山,33.913666,135.15,,0,0
safe,1.0,丸山　宮山,33.908241,135.153069,,0,0
safe,1.0,オークワ　ロマンシティ御坊店,33.897732,135.149438,,0,0
safe,1.0,財部会館,33.9015079,135.152816,,0,0
safe,1.0,きのくに信用金庫御坊営業部,33.897696342894,135.15405327699,,0,0
safe,1.0,湯川幼稚園,33.900224,135.159997,,0,0
safe,1.0,湯川小学校,33.9037471,135.163068,,0,0
safe,1.0,湯川コミュニティセンター,33.904001,135.162524,,0,0
safe,1.0,紀央館高等学校,33.906169,135.161464,,0,0
safe,1.0,湯川中学校,33.9067569,135.163509,,0,0
safe,1.0,湯川文化会館,33.915848,135.152267,,0,0
safe,1.0,鳳生寺,33.9132716,135.161447,,0,0
safe,1.0,吉田八幡神社,33.913158,135.16959,,0,0
safe,1.0,ヨシダエルシス（株）社屋屋上,33.906138446992,135.17095651488,,0,0
safe,1.0,藤田会館,33.9041628,135.1678647,,0,0
safe,1.0,藤田小学校,33.907873,135.173905,,0,0
safe,1.0,藤田コミュニティセンター,33.9057601,135.173073,,0,0
safe,1.0,名屋地区津波避難タワー,33.882880671211,135.15713590454,27.0,124,124
safe,1.0,野口会館,33.9026153,135.18274,,0,0
safe,1.0,野口コミュニティセンター,33.8984963,135.184075,,0,0
safe,1.0,野口小学校,33.895603759599,135.18004320122,,0,0
safe,1.0,古森区集会所,33.894039,135.176035,,0,0
safe,1.0,大成中学校,33.914948,135.180002,,0,0
safe,0.5,日高看護専門学校,33.896404,135.154042,39.0,11,11
safe,0.5,西日本電信電話㈱御坊別館ビル,33.890232,135.155151,32.0,105,105
safe,0.5,御坊小学校,33.8919485,135.154961,33.0,34,34
safe,0.5,ジョーシン電気御坊店,33.890985,135.151511,33.0,45,45
safe,0.5,福祉センター,33.8908522,135.152788,33.0,15,15
safe,0.5,御坊市役所,33.891263,135.152046,33.0,62,62
safe,0.5,御坊商工会館,33.890629,135.152825,33.0,16,16
safe,0.5,御坊市中央公民館,33.8907543,135.153446,33.0,114,114
safe,0.5,新町地区津波避難タワー,33.886173294397,135.15482557005,29.0,303,303
safe,0.5,勤労青少年ホーム,33.8937888,135.152608,36.0,104,104
safe,0.5,薗地区津波避難タワー,33.8871581,135.161616,32.0,1,1
safe,0.5,北塩屋　上の芝　高台,33.8751559,135.159775,,0,0
safe,0.5,北塩屋　六豆山,33.870164,135.164326,,0,0
safe,0.5,日高博愛園しおや,33.873316215096,135.16211138358,28.0,38,38
safe,0.5,猪野々会館,33.8710998,135.180807,,0,0
safe,0.5,河南中学校,33.8783656,135.167466,,0,0
safe,0.5,岩内会館,33.8886893,135.170283,,0,0
safe,0.5,熊野会館,33.8885244,135.181447,,0,0
safe,0.5,御坊中学校,33.8984943,135.159354,,0,0
safe,0.5,博愛園デイサービスセンター春日,33.891605,135.159393,33.0,208,208
safe,0.5,日高川ハイツ　バラ棟,33.889272,135.162208,32.0,18,18
safe,0.5,日高川ハイツ　あじさい棟,33.888818,135.161828,32.0,10,10
safe,0.5,日高川ハイツ　にじ棟,33.889057,135.161548,32.0,134,134
safe,0.5,日高川ハイツ　ゆり棟,33.888045,135.16213,29.0,1,1
safe,0.5,日高高等学校,33.8963634,135.157826,,0,0
safe,0.5,グリーンハイツ　カトレア棟,33.893197,135.164446,,0,0
safe,0.5,グリーンハイツ　すみれ棟,33.892775,135.164619,35.0,1,1
safe,0.5,グリーンハイツ　秋桜棟,33.892661,135.164199,35.0,10,10
safe,0.5,グリーンハイツ　すずらん棟,33.893582,135.164544,,0,0
safe,0.5,島会館,33.8913026,135.161957,33.0,81,81
safe,0.5,グリーンハイツ　さくら棟,33.894144,135.164328,,0,0
safe,0.5,税務署御坊寮,33.8946111,135.158133,36.0,74,74
safe,0.5,丸山　西山,33.913666,135.15,,0,0
safe,0.5,丸山　宮山,33.908241,135.153069,,0,0
safe,0.5,オークワ　ロマンシティ御坊店,33.897732,135.149438,,0,0
safe,0.5,財部会館,33.9015079,135.152816,,0,0
safe,0.5,きのくに信用金庫御坊営業部,33.897696342894,135.15405327699,,0,0
safe,0.5,湯川幼稚園,33.900224,135.159997,,0,0
safe,0.5,湯川小学校,33.9037471,135.163068,,0,0
safe,0.5,湯川コミュニティセンター,33.904001,135.162524,,0,0
safe,0.5,紀央館高等学校,33.906169,135.161464,,0,0
safe,0.5,湯川中学校,33.9067569,135.163509,,0,0
safe,0.5,湯川文化会館,33.915848,135.152267,,0,0
safe,0.5,鳳生寺,33.9132716,135.161447,,0,0
safe,0.5,吉田八幡神社,33.913158,135.16959,,0,0
safe,0.5,ヨシダエルシス（株）社屋屋上,33.906138446992,135.17095651488,,0,0
safe,0.5,藤田会館,33.9041628,135.1678647,,0,0
safe,0.5,藤田小学校,33.907873,135.173905,,0,0
safe,0.5,藤田コミュニティセンター,33.9057601,135.173073,,0,0
safe,0.5,名屋地区津波避難タワー,33.882880671211,135.15713590454,27.0,138,138
safe,0.5,野口会館,33.9026153,135.18274,,0,0
safe,0.5,野口コミュニティセンター,33.8984963,135.184075,,0,0
safe,0.5,野口小学校,33.895603759599,135.18004320122,,0,0
safe,0.5,古森区集会所,33.894039,135.176035,,0,0
safe,0.5,大成中学校,33.914948,135.180002,,0,0
